Site,LineID,X,Y,SF_Depth,XYdist,Width_Fish,Width_Invert,XYWarea_Fish,XYWarea_Invert,Substrate,Habitat_Fine,Brown.rockfish
AN1,101_1400,559130.8163,4104682.123,43.1,0.199993189,1.105,0.78,0.220992474,0.155994687,Soft,Mud,0
AN1,101_1400,559131.008,4104682.077,43.1,0.197156384,1.105,0.78,0.217857804,0.153781979,Soft,Mud,0
AN1,101_1400,559131.1971,4104682.031,43.1,0.1945734,1.105,0.78,0.215003607,0.151767252,Soft,Mud,0
AN1,101_1400,559131.3829,4104681.984,43.1,0.191619815,1.02,0.72,0.195452212,0.137966267,Soft,Mud,0
AN1,101_1400,559131.5664,4104681.936,43.1,0.189573671,1.105,0.78,0.209478907,0.147867464,Soft,Mud,0
AN1,101_1400,559131.7481,4104681.887,43.1,0.188446996,1.02,0.72,0.192215936,0.135681837,Soft,Mud,0
AN1,101_1400,559131.9271,4104681.835,43,0.186222365,1.02,0.72,0.189946812,0.134080102,Soft,Mud,0
AN1,101_1400,559132.1027,4104681.782,42.9,0.183589075,1.105,0.78,0.202865928,0.143199478,Soft,Mud,0
AN1,101_1400,559132.2736,4104681.728,42.9,0.179175608,1.105,0.78,0.197989047,0.139756974,Soft,Mud,0
AN1,101_1400,559132.4385,4104681.676,43,0.172952859,1.02,0.72,0.176411916,0.124526058,Soft,Mud,0
AN1,101_1400,559132.5996,4104681.626,43,0.168707471,1.105,0.78,0.186421755,0.131591827,Soft,Mud,0
AN1,101_1400,559132.759,4104681.578,43,0.166454474,1.02,0.72,0.169783563,0.119847221,Soft,Mud,0
AN1,101_1400,559132.9177,4104681.529,43.2,0.165978287,1.02,0.72,0.169297852,0.119504366,Soft,Mud,0
AN1,101_1400,559133.0765,4104681.476,43.2,0.167333821,1.02,0.72,0.170680497,0.120480351,Soft,Mud,0
AN1,101_1400,559133.2366,4104681.418,43.2,0.170435298,1.105,0.78,0.188331004,0.132939532,Soft,Mud,0
AN1,101_1400,559133.399,4104681.352,43.2,0.1753802,1.275,0.9,0.223609755,0.15784218,Soft,Mud,0
AN1,101_1400,559133.566,4104681.28,42.5,0.181926531,1.275,0.9,0.231956327,0.163733878,Soft,Mud,0
AN1,101_1400,559133.7386,4104681.202,43.1,0.188999501,1.1475,0.81,0.216876927,0.153089596,Soft,Mud,0
AN1,101_1400,559133.9168,4104681.121,43.1,0.195920312,1.02,0.72,0.199838718,0.141062625,Soft,Mud,0
AN1,101_1400,559134.1009,4104681.036,43,0.202939237,1.02,0.72,0.206998022,0.146116251,Soft,Mud,0
AN1,101_1400,559134.2907,4104680.946,42.9,0.210057049,1.02,0.72,0.21425819,0.151241075,Soft,Mud,0
AN1,101_1400,559134.4848,4104680.851,42.9,0.215858949,0.935,0.66,0.201828118,0.142466907,Soft,Mud,0
AN1,101_1400,559134.6816,4104680.752,43,0.220367633,1.0625,0.75,0.23414061,0.165275725,Soft,Mud,0
AN1,101_1400,559134.8808,4104680.652,42.9,0.223071261,1.19,0.84,0.2654548,0.187379859,Soft,Mud,0
AN1,101_1400,559135.082,4104680.553,43,0.223966351,1.105,0.78,0.247482817,0.174693753,Soft,Mud,0
AN1,101_1400,559135.2888,4104680.459,43.1,0.227124083,1.02,0.72,0.231666565,0.16352934,Soft,Mud,0
AN1,101_1400,559135.5016,4104680.369,42.5,0.231160071,0.935,0.66,0.216134666,0.152565647,Soft,Mud,0
AN1,101_1400,559135.7203,4104680.28,43.1,0.236289771,1.02,0.72,0.241015566,0.170128635,Soft,Mud,0
AN1,101_1400,559135.9449,4104680.19,43.1,0.241958393,1.02,0.72,0.246797561,0.174210043,Soft,Mud,0
AN1,101_1400,559136.1758,4104680.099,43.2,0.248149081,1.02,0.72,0.253112063,0.178667339,Soft,Mud,0
AN1,101_1400,559136.4118,4104680.007,43.2,0.253033563,1.105,0.78,0.279602087,0.197366179,Soft,Mud,0
AN1,101_1400,559136.6509,4104679.916,43.1,0.255844719,1.105,0.78,0.282708415,0.199558881,Soft,Mud,0
AN1,101_1400,559136.8924,4104679.826,43.1,0.257732176,1.105,0.78,0.284794054,0.201031097,Soft,Mud,0
AN1,101_1400,559137.1368,4104679.738,43,0.259775036,1.105,0.78,0.287051415,0.202624528,Soft,Mud,0
AN1,101_1400,559137.3847,4104679.654,43,0.262015521,1.105,0.78,0.289527151,0.204372107,Soft,Mud,0
AN1,101_1400,559137.6367,4104679.573,42.9,0.264512804,1.02,0.72,0.26980306,0.190449219,Soft,Mud,0
AN1,101_1400,559137.8894,4104679.496,42.9,0.264215068,0.935,0.66,0.247041089,0.174381945,Soft,Mud,0
AN1,101_1400,559138.1427,4104679.425,43,0.263082755,0.935,0.66,0.245982376,0.173634618,Soft,Mud,0
AN1,101_1400,559138.3959,4104679.361,43.1,0.261218023,0.935,0.66,0.244238852,0.172403895,Soft,Mud,0
AN1,101_1400,559138.6493,4104679.305,43.1,0.259513759,1.02,0.72,0.264704034,0.186849906,Soft,Mud,0
AN1,101_1400,559138.903,4104679.257,43.1,0.258042693,1.02,0.72,0.263203547,0.185790739,Soft,Mud,0
AN1,101_1400,559139.1601,4104679.217,43.3,0.260239355,1.02,0.72,0.265444142,0.187372335,Soft,Mud,0
AN1,101_1400,559139.4245,4104679.182,43.2,0.266805755,1.105,0.78,0.294820359,0.208108489,Soft,Mud,0
AN1,101_1400,559139.6977,4104679.152,43.3,0.274818095,1.19,0.84,0.327033533,0.2308472,Soft,Mud,0
AN1,101_1400,559139.9794,4104679.126,43.2,0.282947397,1.19,0.84,0.336707403,0.237675814,Soft,Mud,0
AN1,101_1400,559140.2693,4104679.103,43.1,0.290743645,1.36,0.96,0.395411357,0.279113899,Soft,Mud,0
AN1,101_1400,559140.5669,4104679.084,43.2,0.298179817,1.36,0.96,0.405524552,0.286252625,Soft,Mud,0
AN1,101_1400,559140.8717,4104679.068,43.1,0.305234096,1.275,0.9,0.389173472,0.274710686,Soft,Mud,0
AN1,101_1400,559141.1833,4104679.055,43,0.311888986,1.275,0.9,0.397658457,0.280700087,Soft,Mud,0
AN1,101_1400,559141.5014,4104679.043,42.9,0.318337382,1.275,0.9,0.405880162,0.286503644,Soft,Mud,0
AN1,101_1400,559141.8261,4104679.035,42.8,0.32474161,1.275,0.9,0.414045553,0.292267449,Soft,Mud,0
AN1,101_1400,559142.1585,4104679.03,42.9,0.332514067,1.275,0.9,0.423955435,0.29926266,Soft,Mud,0
AN1,101_1400,559142.4985,4104679.027,42.9,0.339994577,1.275,0.9,0.433493085,0.305995119,Soft,Mud,0
AN1,101_1400,559142.8446,4104679.029,43,0.346060869,1.02,0.72,0.352982086,0.249163826,Soft,Mud,0
AN1,101_1400,559143.1968,4104679.033,43.1,0.352228892,1.19,0.84,0.419152382,0.295872269,Soft,Mud,0
AN1,101_1400,559143.5552,4104679.039,43.1,0.358412105,1.105,0.78,0.396045376,0.279561442,Soft,Mud,0
AN1,101_1400,559143.9201,4104679.045,43.2,0.364956617,1.02,0.72,0.37225575,0.262768764,Soft,Mud,0
AN1,101_1400,559144.2919,4104679.048,43.3,0.371871048,1.02,0.72,0.379308469,0.267747155,Soft,Mud,0
AN1,101_1400,559144.6711,4104679.046,43.3,0.379193926,0.935,0.66,0.354546321,0.250267991,Soft,Mud,0
AN1,101_1400,559145.058,4104679.039,43.2,0.386990617,0.935,0.66,0.361836227,0.255413807,Soft,Mud,0
AN1,101_1400,559145.4529,4104679.023,43.2,0.395144099,1.02,0.72,0.403046981,0.284503752,Soft,Mud,0
AN1,101_1400,559145.856,4104678.997,43.1,0.403971481,1.105,0.78,0.446388487,0.315097755,Soft,Mud,0
AN1,101_1400,559146.2649,4104678.962,43,0.410351266,1.19,0.84,0.488318007,0.344695064,Soft,Mud,0
AN1,101_1400,559146.6769,4104678.919,42.9,0.4142215,1.19,0.84,0.492923585,0.34794606,Soft,Mud,0
