Site,LineID,X,Y,SF_Depth,XYdist,Width_Fish,Width_Invert,XYWarea_Fish,XYWarea_Invert,Substrate,Habitat_Fine,Brown.rockfish
MN2,90_900,539961.1379,4154489.955,37,0.118784157,1.19,0.84,0.141353147,0.099778692,Soft,Mud,0
MN2,90_900,539961.1866,4154490.064,37,0.118784158,1.275,0.9,0.151449801,0.106905742,Soft,Mud,0
MN2,90_900,539961.2354,4154490.172,37,0.118784158,1.275,0.9,0.151449801,0.106905742,Soft,Mud,0
MN2,90_900,539961.2842,4154490.28,37,0.118784157,1.275,0.9,0.151449801,0.106905742,Soft,Mud,0
MN2,90_900,539961.333,4154490.388,37.1,0.118784158,1.275,0.9,0.151449801,0.106905742,Soft,Mud,0
MN2,90_900,539961.4306,4154490.605,37,0.237568315,1.105,0.78,0.262512988,0.185303286,Mixed,Rock-Mud,0
MN2,90_900,539961.5281,4154490.822,37.2,0.237568315,1.105,0.78,0.262512988,0.185303286,Hard,Rock,0
MN2,90_900,539961.6436,4154491.062,37.3,0.267018686,2.21,1.56,0.590111296,0.41654915,Hard,Rock,0
MN2,90_900,539961.7763,4154491.326,37.3,0.295406953,1.87,1.32,0.552411001,0.389937177,Hard,Rock,0
MN2,90_900,539961.9257,4154491.612,37.3,0.322696824,2.38,1.68,0.768018442,0.542130665,Hard,Rock,0
MN2,90_900,539962.0891,4154491.914,37.1,0.342715574,2.21,1.56,0.757401418,0.534636295,Hard,Rock,0
MN2,90_900,539962.2653,4154492.225,36.9,0.357390147,2.21,1.56,0.789832225,0.557528629,Hard,Rock,0
MN2,90_900,539962.4541,4154492.545,36.8,0.371641988,1.955,1.38,0.726560087,0.512865944,Hard,Rock,0
MN2,90_900,539962.6551,4154492.873,36,0.3853014,1.785,1.26,0.687762999,0.485479764,Hard,Rock,0
MN2,90_900,539962.8683,4154493.21,36.1,0.398366732,1.87,1.32,0.744945789,0.525844087,Hard,Rock,0
MN2,90_900,539963.0934,4154493.555,36.1,0.411612701,1.87,1.32,0.769715751,0.543328765,Mixed,Rock-Mud,0
MN2,90_900,539963.3303,4154493.907,36.5,0.425018989,3.06,2.16,1.300558106,0.918041016,Mixed,Rock-Mud,0
MN2,90_900,539963.5785,4154494.268,36.6,0.437841469,3.06,2.16,1.339794895,0.945737573,Mixed,Rock-Mud,0
MN2,90_900,539963.8201,4154494.612,37,0.420026772,3.315,2.34,1.392388749,0.982862646,Mixed,Rock-Mud,0
